chunk_id,source,title,field,text
StatPearls_0_0,StatPearls,Group B Streptococcus and Pregnancy -- Differential Diagnosis,clinical_guideline,Group B Streptococcus and Pregnancy -- Differential Diagnosis. Other conditions that should be considered when managing GBS in pregnancy include: Bacterial pneumonia Cellulitis Urinary tract infection in females Dermatologic manifestations of necrotizing fasciitis Diskitis Endometritis Epidural abscess Infective endocarditis Meningitis Osteomyelitis in emergency medicine Septic arthritis Urinary tract infection in pregnancy Wound infection
StatPearls_1_0,StatPearls,Syphilis -- Evaluation,clinical_guideline,"Syphilis -- Evaluation. Darkfield microscopy and polymerase chain reaction (PCR) assays for T pallidum are not generally available in the US, and silver-staining techniques are considered unreliable. [19] Nucleic acid amplification tests (NAATs) can be clinically helpful but have not been approved by the FDA for use in the US. [139] [144] Therefore, serological testing is the preferred primary diagnostic modality for syphilis. [19] [144] Serological testing for syphilis is classified as either nontreponemal or treponemal."
StatPearls_2_0,StatPearls,Trigger Thumb -- Evaluation,clinical_guideline,"Trigger Thumb -- Evaluation. Trigger thumb is a clinical diagnosis based on history and physical examination. During the examination, the patient's hands are placed with the palms up in a relaxed position, and the patient is asked to slowly and actively flex and extend the thumb to detect any locking or catching. The clinician can facilitate this by flexing the patient's other digits. If active triggering is not observed, the examiner places fingers on the MCP joint as the thumb is actively flexed and extended, noting any clicking sensation or loss of smooth motion. Locking may not occur with each motion. Imaging is not necessary for the diagnosis of trigger thumb."
StatPearls_3_0,StatPearls,Daunorubicin -- Contraindications,clinical_guideline,"Daunorubicin -- Contraindications. Daunorubicin can cross the placenta, and it can cause fetal harm when administered to pregnant women. Although no human study is available, researchers found daunorubicin to cause multiple fetal abnormalities and spontaneous abortions in reproductive animal studies. Therefore, effective contraception is the recommendation in women of reproductive age. It is not known if daunorubicin is secreted in breast milk or not, but due to the potential harm, breastfeeding is generally not recommended during the ongoing therapy."
StatPearls_4_0,StatPearls,Dermatoses of Pregnancy  -- Differential Diagnosis,clinical_guideline,Dermatoses of Pregnancy  -- Differential Diagnosis. The differential diagnosis for dermatoses of pregnancy includes the following: Acute urticaria Contact dermatitis Chronic urticaria Drug eruptions Erythema multiforme Insect bites Gallstones Biliary disease (cholecystitis and cholangitis) Hepatitis Acute fatty liver of pregnancy Atopic dermatitis Scabies pregnancy Folliculitis
StatPearls_5_0,StatPearls,Rotation Vertebral Artery Syndrome -- Postoperative and Rehabilitation Care,clinical_guideline,"Rotation Vertebral Artery Syndrome -- Postoperative and Rehabilitation Care. Postoperative and rehabilitation care for RVAS is crucial for optimal recovery and long-term success. Postoperatively, patients are closely monitored for neurological symptoms and vascular patency, often utilizing imaging techniques such as Doppler ultrasound or MRI to ensure adequate decompression of the vertebral artery. Pain management, wound care, and prevention of complications such as infection are also prioritized."
StatPearls_6_0,StatPearls,Endometriosis -- Pathophysiology,clinical_guideline,"Endometriosis -- Pathophysiology. The understanding of the pathophysiology of endometriosis remains incomplete in many aspects, and there is not a coherent suggested theory to explain all different types of endometriosis, integrating the epigenetic, genetic, immunological, and environmental data. Of the proposed pathogenic theories, the most plausible is Sampson’s theory, suggesting that with retrograde menstruation, viable cells, and menstrual fragments can migrate through the Fallopian tubes, infiltrate into the peritoneal cavity, and then proliferate and cause chronic inflammation"
StatPearls_6_1,StatPearls,Endometriosis -- Pathophysiology,clinical_guideline,". [3] The fact that retrograde menstruation is a phenomenon caused in a large proportion of women of reproductive age, but not all of them suffer from endometriosis, indicates that retrograde menstruation is not enough by itself to cause endometriosis, indicates that there are also other factors contributing to the generation of disease. Other theories, such as the coelomic metaplastic theory and the vascular and lymphatic metastatic theory, are necessary to explain some forms of endometriosis. The role of oxidative stress and ROS, together with genetic, epigenetic, and environmental factors, must be integrated for a more complete picture of the pathogenesis of endometriosis."
StatPearls_7_0,StatPearls,Oxytocin -- Mechanism of Action,clinical_guideline,"Oxytocin -- Mechanism of Action. Exogenous oxytocin administration causes the same response in the female reproductive system as endogenous oxytocin release. Both forms of oxytocin stimulate uterine contractions in the myometrium by causing G-protein coupled receptors to stimulate a rise in intracellular calcium in uterine myofibrils. Oxytocin receptor activation causes many signals that stimulate uterine contraction by increasing intracellular calcium levels, which is where positive feedback comes into play"
StatPearls_7_1,StatPearls,Oxytocin -- Mechanism of Action,clinical_guideline,". When oxytocin is released, it stimulates uterine contractions, and these uterine contractions, in turn, cause more oxytocin to be released; this is what causes the increase in both the intensity and frequency of contractions and enables a mother to carry out vaginal delivery completely. The head of the fetus pushes against the cervix, and the nerve impulses from this action travel to the mother’s brain, which activates the posterior pituitary to secrete oxytocin. This oxytocin is then carried through the blood to the uterus to increase uterine contractions further, and the cycle continues until parturition. [11] [12]"
